stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP_XEU28,PLAST,THS_EUR,PT	: 	3784 	4308 	7789 	11008 	11732 	14062 	13231 	14019 	11679 	11715 	7651 	4980 	5105 	9889 	5720 	2157 
EXP_XEU28,PLAST,THS_EUR,RO	: 	3266 	2883 	5223 	3377 	5325 	7915 	6623 	7754 	6236 	6372 	4994 	3476 	2475 	2679 	4931 	1461 
EXP_XEU28,PLAST,THS_EUR,SE	: 	4641 	5330 	6996 	6914 	9561 	12178 	12967 	13957 	13210 	10411 	10131 	11813 	10706 	9506 	6985 	5799 
EXP_XEU28,PLAST,THS_EUR,SI	: 	16925 	16220 	28852 	42667 	46190 	50797 	31431 	24455 	5892 	6856 	4094 	1664 	1053 	1862 	1117 	518 
EXP_XEU28,PLAST,THS_EUR,SK	: 	2319 	1454 	2801 	3010 	6288 	4167 	3022 	791 	377 	260 	281 	858 	608 	897 	702 	433 
EXP_XEU28,PLAST,THS_EUR,UK	: 	70767 	105365 	149328 	162316 	211097 	168521 	128861 	201483 	186787 	180709 	138684 	161346 	149484 	126127 	95227 	77892 
EXP_XEU28,TOTAL,T,AT	: 	144376 	99143 	114700 	117966 	115863 	98072 	99289 	90166 	101129 	163668 	71371 	71500 	70714 	71955 	63715 	75905 
EXP_XEU28,TOTAL,T,BE	: 	3655775 	3821969 	3750750 	3710915 	3308648 	4002721 	3331349 	3728411 	3824438 	3802465 	3676378 	2947590 	2897186 	2593685 	2654413 	2384517 
EXP_XEU28,TOTAL,T,BG	: 	457682 	412161 	428870 	304586 	273102 	434378 	634626 	746860 	783309 	816814 	403480 	618229 	416069 	469127 	453709 	598989 
EXP_XEU28,TOTAL,T,CY	: 	53950 	58140 	58199 	61869 	58267 	61682 	64755 	70720 	69251 	59686 	42197 	33625 	27118 	22147 	23621 	17534 
EXP_XEU28,TOTAL,T,CZ	: 	46558 	48090 	64080 	62040 	144845 	139484 	112734 	119523 	121827 	75943 	66642 	28698 	20756 	20634 	22926 	14591 
EXP_XEU28,TOTAL,T,DE	: 	2774799 	2888642 	3071976 	3107456 	2809782 	3428592 	3434977 	4238580 	4236011 	4079706 	4423529 	3343426 	2829909 	2874020 	2458169 	2520679 
EXP_XEU28,TOTAL,T,DK	: 	974788 	988035 	814102 	702209 	540695 	844918 	658886 	588719 	472215 	573785 	529303 	530720 	199764 	139570 	389741 	378560 
EXP_XEU28,TOTAL,T,EE	: 	368630 	447174 	487878 	352501 	282152 	391881 	467044 	481020 	388905 	345451 	314876 	494702 	457669 	502376 	385311 	271301 
EXP_XEU28,TOTAL,T,EL	: 	362035 	419422 	416087 	351671 	351456 	357030 	351158 	391561 	355899 	377427 	417391 	172364 	211249 	182105 	144760 	104490 
EXP_XEU28,TOTAL,T,ES	: 	976257 	1136926 	1296054 	1316397 	1201477 	1142404 	985681 	1225968 	956201 	839876 	1060657 	746598 	505681 	420172 	497091 	259779 
EXP_XEU28,TOTAL,T,EU28	: 	36008392 	37003352 	36711089 	35040745 	30628065 	33066684 	32148414 	36949450 	36250070 	35227075 	35168596 	29007091 	25493504 	24293317 	22233571 	21730020 
EXP_XEU28,TOTAL,T,FI	: 	293963 	216740 	135738 	183638 	164810 	186425 	133302 	139072 	131588 	148497 	218379 	243144 	103700 	154666 	240748 	258238 
EXP_XEU28,TOTAL,T,FR	: 	1791766 	1884679 	1925531 	1750343 	1606178 	1611759 	1642706 	2017139 	1812091 	1579830 	1709390 	1043375 	997111 	882789 	827095 	768880 
EXP_XEU28,TOTAL,T,HR	: 	259385 	168470 	150786 	98599 	95467 	150932 	166650 	234193 	236976 	112554 	108358 	119890 	117933 	68258 	55462 	11071 
EXP_XEU28,TOTAL,T,HU	: 	144514 	137292 	150896 	151216 	142877 	206482 	200444 	160995 	113053 	144388 	84793 	99043 	45086 	24701 	56659 	40122 
EXP_XEU28,TOTAL,T,IE	: 	380527 	382252 	388086 	386159 	404058 	392216 	373873 	400573 	350788 	323859 	389499 	356829 	360651 	318339 	285579 	174540 
EXP_XEU28,TOTAL,T,IT	: 	1925049 	1999589 	1964686 	1833627 	1775291 	1593518 	1648431 	1899247 	1704333 	1595093 	1947655 	1321599 	778537 	569838 	488656 	366014 
EXP_XEU28,TOTAL,T,LT	: 	736040 	787910 	778936 	503354 	404720 	399089 	244320 	201966 	299229 	201802 	204550 	318364 	329856 	306143 	299554 	269066 
EXP_XEU28,TOTAL,T,LU	: 	22 	25 	91 	41 	0 	1 	0 	7 	12 	56 	179 	2488 	9591 	14615 	27367 	8445 
EXP_XEU28,TOTAL,T,LV	: 	366164 	470429 	391623 	333649 	407697 	464013 	432411 	480501 	432777 	252703 	149214 	103296 	23332 	88563 	36562 	26963 
EXP_XEU28,TOTAL,T,MT	: 	63623 	171747 	73057 	67377 	54204 	72920 	46142 	56657 	58591 	43141 	34570 	30611 	21527 	9175 	4444 	6303 
EXP_XEU28,TOTAL,T,NL	: 	5329424 	5554119 	5480322 	5319324 	4096095 	3994693 	4209647 	5660267 	5534461 	5984143 	6454709 	4933987 	4560279 	4275684 	3895203 	3637048 
EXP_XEU28,TOTAL,T,PL	: 	952305 	597230 	344881 	388550 	284004 	381078 	391786 	403698 	329595 	248243 	210595 	221405 	114267 	69285 	234677 	438004 
EXP_XEU28,TOTAL,T,PT	: 	161264 	152849 	182225 	174236 	74993 	113271 	114581 	122231 	144847 	143269 	146511 	72767 	57323 	39894 	37172 	22670 
EXP_XEU28,TOTAL,T,RO	: 	906352 	729739 	697020 	490816 	566247 	1187171 	1778586 	1787927 	2112932 	2304689 	2191450 	1524323 	1604701 	1404468 	1277907 	1935368 
EXP_XEU28,TOTAL,T,SE	: 	1168308 	1049613 	1054174 	1021072 	795751 	934495 	814761 	1029156 	957659 	843622 	977527 	541722 	503362 	466634 	549232 	485534 
EXP_XEU28,TOTAL,T,SI	: 	135364 	121023 	157275 	175584 	200912 	220852 	205482 	233333 	125304 	113038 	137541 	38322 	32860 	28628 	23948 	23240 
EXP_XEU28,TOTAL,T,SK	: 	58915 	49887 	29150 	26120 	29850 	31226 	26498 	36803 	39565 	27872 	15434 	13804 	16678 	23851 	22888 	24445 
EXP_XEU28,TOTAL,T,UK	: 	11520556 	12210057 	12303916 	12049426 	10438623 	10225382 	9578293 	10404158 	10557085 	10025451 	9182418 	9034671 	8180598 	8251997 	6776963 	6607725 
EXP_XEU28,TOTAL,THS_EUR,AT	: 	70048 	49800 	59920 	42562 	99353 	134453 	43259 	46731 	51841 	164446 	35480 	32195 	31946 	29827 	68585 	44792 
EXP_XEU28,TOTAL,THS_EUR,BE	: 	1616261 	1573374 	1360231 	952087 	946911 	1263532 	1153994 	1377080 	1363032 	1139657 	774620 	862745 	794549 	663030 	568871 	459683 
EXP_XEU28,TOTAL,THS_EUR,BG	: 	157805 	128572 	121697 	77840 	77841 	126394 	189170 	266191 	388969 	282172 	92286 	177041 	107155 	116826 	89348 	103688 
EXP_XEU28,TOTAL,THS_EUR,CY	: 	12529 	16105 	17671 	15308 	15415 	20358 	23486 	42101 	44179 	25920 	15902 	13082 	11684 	13812 	9602 	6067 
EXP_XEU28,TOTAL,THS_EUR,CZ	: 	285561 	218679 	186731 	145270 	153145 	147846 	118821 	162230 	117529 	113652 	75622 	31817 	15612 	14940 	18174 	6265 
EXP_XEU28,TOTAL,THS_EUR,DE	: 	2097097 	1791660 	1882084 	1446999 	1575812 	1884305 	2037122 	2480909 	2568956 	2241361 	1597210 	2044137 	1768774 	1427798 	935273 	788336 
EXP_XEU28,TOTAL,THS_EUR,DK	: 	286918 	305166 	257712 	178130 	166862 	276005 	240606 	257665 	236979 	210277 	156605 	218322 	117665 	78548 	100647 	91733 
EXP_XEU28,TOTAL,THS_EUR,EE	: 	108379 	146510 	142458 	93355 	80176 	123041 	154144 	178726 	147967 	105769 	66197 	178975 	131952 	122828 	78152 	57224 
EXP_XEU28,TOTAL,THS_EUR,EL	: 	64531 	84867 	91439 	67063 	67884 	82381 	90858 	118808 	113725 	111293 	62191 	53652 	57071 	50673 	40690 	21743 
EXP_XEU28,TOTAL,THS_EUR,ES	: 	528437 	526322 	566213 	422297 	466916 	447078 	693884 	1621541 	1334401 	834024 	275651 	217630 	210434 	183276 	155552 	96278 
EXP_XEU28,TOTAL,THS_EUR,EU28	: 	14030370 	14035506 	13659328 	10687619 	11068472 	12739967 	13800190 	18408193 	18570550 	16007245 	10244176 	11160721 	9803468 	8361293 	6144400 	5166064 
EXP_XEU28,TOTAL,THS_EUR,FI	: 	150040 	130928 	120600 	108764 	119072 	127768 	130344 	169698 	153837 	124964 	88252 	129182 	93908 	80546 	75586 	73785 
EXP_XEU28,TOTAL,THS_EUR,FR	: 	603675 	646231 	700449 	565666 	573325 	592295 	642055 	836575 	807574 	669167 	458412 	422006 	416376 	408772 	295751 	248393 
EXP_XEU28,TOTAL,THS_EUR,HR	: 	58923 	45543 	34106 	20830 	18689 	34268 	44052 	71462 	74787 	32832 	21637 	41215 	28347 	13972 	9268 	2170 
EXP_XEU28,TOTAL,THS_EUR,HU	: 	61968 	43491 	50615 	40105 	50464 	65190 	73428 	66020 	61567 	41433 	21070 	36334 	15779 	16735 	15889 	7428 
EXP_XEU28,TOTAL,THS_EUR,IE	: 	84858 	101918 	108404 	86580 	91966 	84005 	89419 	99501 	88876 	83969 	62389 	72192 	58042 	46242 	39095 	27503 
EXP_XEU28,TOTAL,THS_EUR,IT	: 	633107 	649240 	665622 	565907 	606427 	523971 	696708 	784492 	648467 	586708 	426572 	351719 	289262 	218288 	152866 	98233 
EXP_XEU28,TOTAL,THS_EUR,LT	: 	240853 	260616 	220805 	111831 	109392 	118525 	76593 	65092 	89116 	48995 	35850 	87909 	71258 	62114 	53012 	48269 
EXP_XEU28,TOTAL,THS_EUR,LU	: 	546 	1499 	1963 	243 	0 	8243 	1 	12 	16 	59 	650 	3346 	14573 	15074 	16899 	7387 
EXP_XEU28,TOTAL,THS_EUR,LV	: 	101818 	145474 	115449 	83964 	108939 	139213 	140784 	171901 	167306 	91219 	55098 	43103 	20494 	28529 	15291 	12170 
EXP_XEU28,TOTAL,THS_EUR,MT	: 	8023 	10645 	11014 	9595 	10676 	10265 	9212 	12265 	13119 	7842 	5147 	6440 	3529 	1654 	1625 	1676 
EXP_XEU28,TOTAL,THS_EUR,NL	: 	1706784 	1870158 	1792772 	1411150 	1515453 	1632497 	1685641 	2340272 	2575274 	2292444 	1616127 	1732466 	1961612 	1609792 	1046116 	825400 
EXP_XEU28,TOTAL,THS_EUR,PL	: 	445768 	277573 	185053 	139026 	111777 	149286 	154804 	179744 	159926 	109773 	76216 	74761 	51004 	43088 	64057 	79498 
EXP_XEU28,TOTAL,THS_EUR,PT	: 	35608 	39606 	53409 	48202 	39523 	48145 	55962 	55884 	45889 	53808 	35877 	24041 	18496 	24212 	16295 	5619 
EXP_XEU28,TOTAL,THS_EUR,RO	: 	231406 	214384 	188246 	110156 	146156 	332566 	521776 	595231 	720156 	675092 	448189 	507042 	424573 	372208 	247716 	310918 
EXP_XEU28,TOTAL,THS_EUR,SE	: 	489695 	471203 	458634 	370742 	319399 	405194 	395027 	603961 	584286 	422604 	336946 	294277 	239567 	182086 	160802 	131425 
EXP_XEU28,TOTAL,THS_EUR,SI	: 	47028 	48524 	71968 	69411 	77855 	84615 	73789 	91979 	45170 	36052 	22783 	12682 	13271 	28191 	4402 	2742 
EXP_XEU28,TOTAL,THS_EUR,SK	: 	31828 	44656 	20379 	11719 	15516 	13797 	9252 	12218 	12613 	7605 	4364 	4770 	6598 	5400 	2793 	2920 
EXP_XEU28,TOTAL,THS_EUR,UK	: 	3870877 	4192764 	4173687 	3492816 	3503529 	3864733 	4255999 	5699903 	5954996 	5494109 	3376833 	3487642 	2829935 	2502832 	1862042 	1604718 
IMP,CAN,T,AT	377893 	400995 	411839 	386757 	393336 	375176 	398030 	116872 	147040 	167198 	207866 	183918 	176608 	146009 	251500 	241735 	228613 
IMP,CAN,T,BE	621700 	596131 	591960 	592589 	579082 	487309 	524314 	516232 	550413 	508294 	487951 	416803 	441859 	518300 	485941 	438718 	410905 
IMP,CAN,T,BG	63144 	55700 	54672 	57777 	52705 	62545 	61906 	57740 	66071 	56703 	42356 	23744 	29357 	16237 	9963 	6565 	3391 
IMP,CAN,T,CY	0 	25 	242 	208 	179 	154 	199 	54 	29 	86 	67 	0 	1 	6 	0 	22 	45 
IMP,CAN,T,CZ	130338 	130779 	127594 	122988 	126726 	87477 	87257 	96757 	124259 	107108 	75359 	61516 	67426 	73107 	57585 	40033 	31319 
IMP,CAN,T,DE	1461892 	1582888 	1506418 	1411342 	1405682 	1404431 	1327691 	1189966 	1252185 	1206315 	1134107 	910274 	1166503 	1279120 	1197960 	982110 	1009906 
IMP,CAN,T,DK	34778 	28037 	25240 	24948 	19645 	19326 	14835 	24050 	18881 	13879 	11802 	14961 	92013 	85601 	58672 	67221 	54629 
IMP,CAN,T,EE	3369 	1454 	2675 	2437 	825 	804 	2555 	1114 	1070 	2833 	4885 	941 	1000 	1937 	2222 	700 	1047 
IMP,CAN,T,EL	122109 	87283 	70519 	59503 	57138 	57285 	67951 	74153 	97652 	74547 	48565 	27283 	33417 	38518 	22366 	19394 	19175 
IMP,CAN,T,ES	374175 	401055 	381446 	356726 	335979 	320680 	328081 	285907 	279056 	231372 	202285 	135927 	175115 	182033 	203338 	186164 	201557 
IMP,CAN,T,EU27_2020	1181175 d	1234273 d	1141320 d	1095442 d	1068138 d	1048103 d	1046469 d	1024192 d	1012714 d	958675 d	806436 d	647389 d	906607 d	974471 d	901275 d	666372 d	741074 d
IMP,CAN,T,EU28	: 	995389 d	917829 d	862435 d	836100 d	837663 d	851963 d	814419 d	829674 d	772166 d	642356 d	498304 d	688096 d	751758 d	715980 d	541972 d	619306 d
IMP,CAN,T,FI	27218 	23364 	23782 	22040 	24756 	31483 	30712 	22246 	23927 	24087 	23778 	18495 	26605 	21994 	16923 	18820 	21971 
IMP,CAN,T,FR	262858 	325490 	345697 	342841 	327458 	356545 	308036 	313543 	347248 	377078 	335256 	269435 	282387 	283427 	315792 	213131 	225455 
IMP,CAN,T,HR	2002 	3885 	8177 	6708 	3180 	4335 	1717 	97 	478 	194 	83 	187 	130 	160 	392 	184 	1295 
IMP,CAN,T,HU	89195 	99638 	91980 	81610 	55444 	36613 	41345 	39481 	53035 	65077 	47655 	40541 	62280 	46831 	49621 	15606 	13676 
IMP,CAN,T,IE	1456 	2332 	1699 	866 	609 	733 	198 	259 	20 	39 	214 	21 	180 	302 	69 	120 	530 
IMP,CAN,T,IT	807871 	851949 	800004 	710025 	673527 	686170 	691783 	609426 	584180 	610388 	506651 	368611 	556667 	630780 	594853 	465922 	490252 
IMP,CAN,T,LT	7789 	13098 	14084 	7475 	10032 	15622 	10418 	9389 	6318 	6665 	2896 	1335 	2483 	3840 	2320 	2570 	1397 
IMP,CAN,T,LU	141672 	157524 	181995 	187086 	153929 	161480 	163698 	174957 	162693 	163699 	170390 	109390 	145820 	157742 	161688 	153723 	117249 
IMP,CAN,T,LV	14506 	15811 	16240 	12088 	12763 	14908 	16278 	22076 	15980 	14251 	10783 	7663 	8333 	7176 	7035 	16361 	21601 
IMP,CAN,T,MT	0 	47 	0 	0 	1 	22 	17 	0 	88 	223 	2 	21 	132 	16 	0 	286 	22 
IMP,CAN,T,NL	323281 	351690 	380303 	369690 	355173 	319533 	310260 	350367 	422686 	411358 	349452 	336933 	347954 	342855 	327572 	294512 	286851 
IMP,CAN,T,PL	342574 	361013 	384813 	321973 	326319 	331680 	272498 	227874 	167918 	134402 	110814 	91254 	90013 	83279 	57526 	46172 	46532 
IMP,CAN,T,PT	28302 	20853 	24353 	16150 	19166 	18314 	13719 	10497 	13067 	14193 	21457 	24389 	13188 	13945 	9510 	7047 	6093 
IMP,CAN,T,RO	110841 	100413 	104188 	107929 	92290 	91833 	86075 	98206 	69233 	71180 	89953 	4276 	4796 	5543 	3382 	2093 	3402 
IMP,CAN,T,SE	192102 	205580 	199720 	191081 	168664 	214858 	186804 	223071 	200274 	185265 	168918 	134641 	144148 	129198 	96418 	86722 	111276 
IMP,CAN,T,SI	111728 	115893 	115522 	108734 	99091 	92099 	86281 	77176 	70697 	65271 	73648 	49129 	61016 	62817 	60930 	53143 	31226 
IMP,CAN,T,SK	62912 	62539 	49991 	54368 	40115 	35582 	42492 	34628 	42311 	34181 	42196 	30900 	21999 	26204 	26554 	30730 	33382 
IMP,CAN,T,UK	: 	137579 	163626 	176122 	160419 	149752 	198251 	148393 	143152 	144871 	164179 	144678 	179179 	193154 	165517 	168766 	102780 
IMP,CAN,THS_EUR,AT	689382 	760398 	826339 	774900 	658391 	736964 	819581 	491234 	693884 	746467 	764613 	443121 	509123 	424849 	556851 	360365 	308397 
IMP,CAN,THS_EUR,BE	1517641 	1395619 	1337862 	1294097 	1175249 	1055834 	1297794 	1493509 	1641981 	1450853 	1299208 	673261 	987633 	1209492 	1122806 	588790 	486291 
IMP,CAN,THS_EUR,BG	295018 	259388 	265511 	265623 	206219 	279669 	290830 	283626 	362325 	304162 	189439 	72894 	117729 	57709 	33281 	15143 	4475 
IMP,CAN,THS_EUR,CY	0 	96 	100 	248 	149 	331 	183 	23 	22 	39 	29 	0 	4 	8 	0 	30 	45 
IMP,CAN,THS_EUR,CZ	136971 	145196 	180648 	175390 	151113 	122704 	132866 	167524 	227300 	225513 	154327 	91787 	106605 	128411 	106201 	48638 	35299 
IMP,CAN,THS_EUR,DE	3223145 	3729128 	3769245 	3510849 	2961384 	3272091 	3348748 	3127857 	3697333 	3774619 	3105095 	1671104 	2812869 	3376761 	3084124 	1505728 	1382622 
IMP,CAN,THS_EUR,DK	56364 	43146 	45118 	46654 	29959 	30729 	25596 	36470 	34060 	27611 	25172 	18705 	54462 	59176 	55485 	30451 	24660 
IMP,CAN,THS_EUR,EE	9443 	4520 	7701 	7022 	1675 	2151 	6424 	3404 	2868 	2741 	2642 	1877 	3299 	9530 	5092 	1478 	2312 
IMP,CAN,THS_EUR,EL	312153 	272966 	244721 	163333 	127188 	192045 	219361 	235064 	318890 	244975 	137258 	55878 	112933 	104663 	41878 	25852 	25082 
IMP,CAN,THS_EUR,ES	607784 	690359 	674510 	635836 	540486 	587083 	569378 	549656 	625853 	566150 	425872 	206479 	337121 	349123 	465244 	250860 	215415 
IMP,CAN,THS_EUR,EU27_2020	3059586 d	3201210 d	3049209 d	2891040 d	2499893 d	2781292 d	2958017 d	3171413 d	3521397 d	3326819 d	2467827 d	1321374 d	2370950 d	2779157 d	2544652 d	1067405 d	1047526 d
IMP,CAN,THS_EUR,EU28	: 	2648237 d	2513211 d	2343367 d	1952257 d	2205273 d	2380495 d	2521794 d	2859560 d	2629493 d	1849515 d	970353 d	1725446 d	2063765 d	1904936 d	814032 d	831716 d
IMP,CAN,THS_EUR,FI	49554 	39569 	45173 	44737 	35160 	58914 	57390 	33094 	46703 	40869 	35684 	21330 	34966 	29407 	16729 	15012 	16407 
IMP,CAN,THS_EUR,FR	441954 	554995 	635709 	610823 	521351 	789574 	575431 	591719 	696885 	829695 	647560 	369531 	623645 	699894 	722955 	325318 	301034 
IMP,CAN,THS_EUR,HR	1385 	3847 	12476 	7738 	1277 	6054 	2211 	137 	1585 	313 	162 	362 	297 	392 	475 	213 	1364 
IMP,CAN,THS_EUR,HU	103542 	126754 	134640 	125197 	80227 	62076 	71678 	72995 	95771 	115610 	77651 	62416 	122755 	86225 	102012 	21390 	14086 
IMP,CAN,THS_EUR,IE	2786 	2489 	2152 	899 	523 	932 	518 	455 	244 	192 	628 	66 	373 	898 	104 	177 	748 
IMP,CAN,THS_EUR,IT	1223403 	1413410 	1584984 	1344215 	1089222 	1302293 	1313337 	1193919 	1167458 	1306780 	997085 	458177 	1093293 	1386736 	1401279 	639750 	588314 
IMP,CAN,THS_EUR,LT	19290 	39856 	41629 	19894 	27060 	39921 	35194 	25606 	13993 	9912 	4095 	1450 	4245 	5019 	2260 	3113 	1528 
IMP,CAN,THS_EUR,LU	227510 	261854 	314287 	313507 	238414 	269485 	248932 	273289 	266674 	288050 	273631 	136633 	258163 	300292 	317238 	211293 	157072 
IMP,CAN,THS_EUR,LV	25976 	31025 	34651 	26024 	21214 	32579 	33875 	38330 	36716 	31518 	20754 	9768 	12153 	9858 	9235 	12583 	20430 
IMP,CAN,THS_EUR,MT	0 	127 	0 	0 	5 	32 	18 	0 	133 	43 	11 	8 	83 	80 	0 	114 	16 
IMP,CAN,THS_EUR,NL	529072 	627789 	666008 	667955 	576262 	622524 	558103 	680276 	932217 	1002785 	749795 	481501 	678035 	771554 	705812 	383111 	347387 
IMP,CAN,THS_EUR,PL	700256 	643844 	690986 	592355 	536729 	625635 	528352 	455453 	438459 	301169 	231114 	130266 	172309 	183752 	101946 	56947 	64992 
IMP,CAN,THS_EUR,PT	66627 	50204 	62272 	39463 	44424 	44408 	36595 	28239 	34551 	44078 	48490 	30191 	50086 	48827 	28699 	12759 	8718 
IMP,CAN,THS_EUR,RO	164759 	163693 	177621 	162620 	128019 	140675 	123770 	129035 	112938 	129325 	90768 	5629 	20012 	14112 	14072 	4846 	7110 
IMP,CAN,THS_EUR,SE	416652 	459749 	454243 	433953 	361096 	434028 	400648 	569799 	656776 	650735 	498353 	336714 	359685 	375306 	269651 	178725 	210433 
IMP,CAN,THS_EUR,SI	179213 	199514 	208850 	183353 	144858 	152510 	141836 	124214 	130482 	133931 	144573 	66619 	110467 	128472 	124737 	79186 	40406 
IMP,CAN,THS_EUR,SK	163382 	168918 	147905 	174140 	124554 	122012 	154235 	143185 	248156 	228867 	251414 	102713 	143277 	73664 	82822 	63133 	43705 
IMP,CAN,THS_EUR,UK	: 	283428 	325618 	305385 	277783 	300500 	304257 	259019 	284888 	300386 	305218 	184917 	332423 	378844 	293729 	218083 	134352 
IMP,MT_FER,T,AT	1154853 	1160150 	1127139 	1169493 	1042890 	1216731 	1273939 	1170685 	1015833 	1025366 	996120 	1201592 	1643193 	1377273 	1098375 	1119956 	1141193 
IMP,MT_FER,T,BE	4609086 	4473743 	4536862 	4579551 	4303154 	4161646 	4675921 	4238917 	4290974 	4546674 	4626474 	3643461 	4165811 	4343553 	4187494 	3779064 	4367849 
IMP,MT_FER,T,BG	185390 	263151 	166017 	101166 	94361 	105102 	115480 	93289 	113508 	230424 	269425 	220013 	237053 	286187 	188698 	108450 	90462 
IMP,MT_FER,T,CY	180 	142 	353 	98 	307 	0 	0 	115 	43 	0 	21 	14 	570 	120 	20 	36 	0 
IMP,MT_FER,T,CZ	441394 	443458 	467640 	461000 	476843 	497615 	597600 	554034 	477439 	474843 	403372 	379381 	505546 	523665 	557412 	382876 	548209 
IMP,MT_FER,T,DE	3930037 	4161847 	4317250 	4772888 	4351603 	4639185 	5326109 	5676755 	5792820 	6674261 	5615521 	4047097 	5976989 	6332156 	5932607 	5526734 	5956955 
IMP,MT_FER,T,DK	352193 	225070 	188565 	134487 	97822 	109588 	251099 	317390 	216787 	229993 	188633 	257858 	527952 	234866 	186273 	262121 	238006 
IMP,MT_FER,T,EE	120862 	170336 	164071 	125896 	90262 	66877 	106808 	164453 	226966 	12229 	8523 	9267 	37841 	53155 	64678 	112194 	85690 
IMP,MT_FER,T,EL	763245 	870331 	936627 	890185 	789835 	435296 	458143 	310809 	413538 	935409 	1008247 	1161177 	1484899 	1708159 	1517555 	1548880 	1179981 
IMP,MT_FER,T,ES	3376147 	4136529 	4046526 	4243250 	4005341 	5147036 	4969678 	4927788 	4366090 	4958310 	5784617 	4933131 	6606617 	6475862 	7350133 	6761010 	6985231 
IMP,MT_FER,T,EU27_2020	4086357 d	4269124 d	4549648 d	4917554 d	4467214 d	5243864 d	5098013 d	5420015 d	5255599 d	5849968 d	5785040 d	5066693 d	7962118 d	8469803 d	9926827 d	9669952 d	10248171 d
IMP,MT_FER,T,EU28	: 	2925781 d	2827553 d	3071033 d	2749028 d	2849498 d	3143076 d	3190935 d	3157395 d	3439347 d	3403123 d	3114414 d	5084249 d	5463421 d	6621068 d	6717762 d	7298454 d
IMP,MT_FER,T,FI	13518 	16840 	17086 	15225 	14064 	23151 	88148 	50973 	49793 	714586 	754724 	467377 	596792 	687887 	1013676 	756268 	878924 
IMP,MT_FER,T,FR	1505026 	1524438 	1819143 	1950271 	1847136 	2296980 	2502461 	2379296 	2732402 	2682356 	2451497 	2418257 	3245391 	3217525 	3321932 	2830740 	3459949 
IMP,MT_FER,T,HR	240275 	96842 	134649 	45330 	34985 	90014 	91041 	44842 	4872 	44335 	30395 	10628 	19400 	29599 	17563 	18404 	7156 
IMP,MT_FER,T,HU	99535 	89862 	90868 	102507 	99903 	98741 	75930 	53125 	57291 	68565 	56786 	34362 	146494 	87384 	65148 	40340 	62652 
IMP,MT_FER,T,IE	252 	1302 	2198 	1566 	847 	3265 	3159 	3486 	6564 	3284 	4018 	4365 	4204 	3857 	3692 	1233 	1038 
IMP,MT_FER,T,IT	5198930 	5419357 	5638270 	5238651 	4439153 	4649994 	5146404 	4960380 	5272741 	5753381 	4619195 	3347499 	5751175 	5265198 	5682259 	5369589 	5605853 
IMP,MT_FER,T,LT	394207 	257867 	224256 	91807 	32181 	26026 	35161 	30690 	61055 	71857 	35270 	34076 	64462 	64658 	103889 	75152 	82325 
IMP,MT_FER,T,LU	1953707 	2265033 	2346763 	2219561 	2233174 	2120275 	2177821 	2251651 	2258321 	2654555 	2703877 	2037283 	2816524 	3042080 	3184921 	2307092 	4264672 
IMP,MT_FER,T,LV	188573 	113387 	147176 	142690 	111462 	138198 	220625 	318371 	923035 	366039 	443858 	214564 	412240 	294904 	266616 	161533 	93847 
IMP,MT_FER,T,MT	2711 	1039 	1843 	49 	15 	15 	0 	0 	15 	6 	270 	1594 	1955 	1376 	529 	0 	189 
IMP,MT_FER,T,NL	3609422 	3479736 	2891359 	2847984 	2534923 	2004155 	1998456 	1940885 	2125841 	1959479 	2042544 	2142658 	1868101 	1777199 	2415798 	2202633 	2819045 
IMP,MT_FER,T,PL	735453 	822025 	889015 	846908 	791074 	746390 	498070 	512332 	383483 	409588 	383095 	604225 	491798 	314201 	286899 	238514 	278269 
IMP,MT_FER,T,PT	1572769 	1398803 	1671544 	1560948 	1458734 	1515425 	1524391 	1407786 	1196298 	1252274 	902988 	1039657 	1165744 	1129724 	1156164 	1040570 	292748 
IMP,MT_FER,T,RO	64447 	96933 	135093 	140833 	89854 	11730 	6274 	17655 	49468 	8821 	5501 	4204 	17888 	15771 	9867 	545 	2027 
IMP,MT_FER,T,SE	209805 	202231 	297736 	293203 	275421 	261113 	295494 	256339 	236278 	241587 	218373 	174279 	193309 	242187 	280009 	254399 	274317 
IMP,MT_FER,T,SI	515471 	557580 	586528 	574335 	531783 	513490 	579017 	539993 	552512 	561710 	495429 	281950 	368148 	363179 	440536 	434532 	399591 
IMP,MT_FER,T,SK	272889 	107024 	358787 	251171 	164748 	181615 	256732 	383012 	342981 	156302 	209254 	165126 	217591 	260828 	244790 	197697 	238485 
IMP,MT_FER,T,UK	: 	282270 	387507 	321716 	226368 	238495 	305132 	302909 	285493 	424492 	276787 	209505 	236720 	206315 	155366 	183140 	225971 
IMP,MT_FER,THS_EUR,AT	301221 	341450 	378689 	336213 	234659 	329732 	398974 	366779 	342642 	369258 	302455 	208782 	556793 	344862 	248910 	219130 	223346 
IMP,MT_FER,THS_EUR,BE	1585177 	1709842 	2048206 	1889289 	1495852 	1663127 	1936800 	1782336 	2070653 	2370692 	2106301 	1119749 	2199960 	2283333 	1903936 	1262135 	1419039 
