stk_flow,waste,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EXP,MT_FER,T,EU28	: 	21749719 d	21684391 d	20084878 d	17783527 d	13776233 d	16959950 d	16802287 d	19542770 d	19002692 d	19092662 d	15924340 d	12802000 d	11484616 d	11719299 d	11056433 d	12073154 d
EXP,MT_FER,T,FI	701628 	501799 	432752 	349796 	327943 	358207 	407820 	407572 	361150 	336987 	229941 	276011 	308047 	253732 	220124 	286495 	316239 
EXP,MT_FER,T,FR	6134250 	6595245 	6506543 	6285635 	5548901 	5460552 	6326608 	6201857 	6234155 	6249669 	6671190 	5438368 	5960443 	6190954 	6141171 	5061319 	5602838 
EXP,MT_FER,T,HR	571509 	426902 	369715 	412046 	363862 	288915 	350706 	386741 	516600 	517438 	357015 	301925 	357487 	427540 	398070 	318840 	279852 
EXP,MT_FER,T,HU	868705 	832236 	946010 	934858 	919799 	862143 	1057364 	1127718 	1185782 	1272470 	1084987 	636754 	691309 	569026 	660997 	764852 	887168 
EXP,MT_FER,T,IE	312252 	464037 	556716 	441828 	373285 	366299 	446794 	445624 	506046 	604997 	484841 	425962 	490972 	479220 	388379 	356380 	354221 
EXP,MT_FER,T,IT	661068 	564649 	485169 	426341 	352810 	308993 	268733 	256148 	325706 	318573 	423178 	325558 	394705 	244650 	189387 	188758 	210773 
EXP,MT_FER,T,LT	1008111 	748321 	833332 	822232 	546320 	483756 	576122 	493482 	600039 	664224 	597209 	426997 	646032 	666064 	675482 	606486 	677728 
EXP,MT_FER,T,LU	85944 	107641 	115780 	115915 	121139 	106190 	100012 	94126 	107499 	150080 	167039 	134443 	346343 	359907 	253355 	263650 	598818 
EXP,MT_FER,T,LV	466852 	418457 	536797 	432978 	353438 	457247 	478016 	468153 	507284 	563191 	396793 	213771 	388456 	245958 	313536 	217144 	64083 
EXP,MT_FER,T,MT	39999 	41819 	146725 	45153 	38245 	29454 	48857 	28134 	34244 	38408 	29484 	27879 	25445 	28663 	19054 	7254 	17578 
EXP,MT_FER,T,NL	6333354 	6277759 	6324018 	6106483 	5590338 	4626350 	4656522 	4823425 	5430359 	5190844 	5595581 	4773650 	4719521 	4842416 	4855435 	4281485 	4465103 
EXP,MT_FER,T,PL	2247641 	2174145 	1715841 	1456495 	1423944 	1441798 	2052652 	1992355 	2007043 	1902527 	1419489 	982565 	1392702 	1171561 	1205756 	1427366 	1973115 
EXP,MT_FER,T,PT	367983 	422781 	485519 	418673 	246686 	201996 	225505 	243671 	240315 	278223 	345023 	256155 	279831 	408946 	511615 	364530 	259298 
EXP,MT_FER,T,RO	1446434 	1129056 	952823 	816341 	702228 	716646 	1431693 	1940768 	1912740 	2354388 	2519235 	2565448 	1985827 	1966944 	1862498 	1661747 	2394490 
EXP,MT_FER,T,SE	1464512 	1495459 	1381593 	1422326 	1402796 	1249783 	1490282 	1317295 	1552483 	1505704 	1355194 	1440166 	1449311 	1095055 	853012 	878817 	747964 
EXP,MT_FER,T,SI	446298 	478425 	483172 	443543 	370346 	397201 	419845 	395562 	417262 	409400 	343715 	284958 	199038 	245624 	226323 	225586 	199624 
EXP,MT_FER,T,SK	808402 	931808 	639692 	611300 	577702 	521879 	535895 	366093 	430655 	655161 	498740 	318753 	528622 	417711 	535066 	375877 	455641 
EXP,MT_FER,T,UK	: 	8034002 	8692785 	8791940 	8101303 	7236028 	6980636 	6947474 	7289104 	7813827 	7518561 	6006799 	6626251 	6456483 	7416070 	6096745 	6779612 
EXP,MT_FER,THS_EUR,AT	344921 	367435 	425468 	367149 	260838 	285387 	327805 	311465 	361807 	358206 	326783 	214981 	466006 	351021 	305373 	213709 	253946 
EXP,MT_FER,THS_EUR,BE	981100 	1005561 	1110030 	965756 	698277 	704869 	1022092 	906340 	1118406 	1150821 	1068606 	665691 	928767 	800392 	691745 	565439 	590591 
EXP,MT_FER,THS_EUR,BG	104881 	122267 	110506 	95085 	49163 	56353 	105633 	163433 	224658 	266988 	249659 	91046 	209438 	172061 	144942 	127145 	128191 
EXP,MT_FER,THS_EUR,CY	19423 	20238 	18809 	16466 	10770 	14023 	21092 	27630 	41141 	42201 	25101 	14535 	21581 	15136 	12358 	9601 	8017 
EXP,MT_FER,THS_EUR,CZ	534346 	591931 	668329 	590735 	375668 	407086 	556939 	517105 	620618 	667712 	527394 	284517 	611609 	438772 	345643 	253763 	288430 
EXP,MT_FER,THS_EUR,DE	2777854 	3073238 	3515894 	3241609 	2529401 	2859816 	3636876 	3489912 	4235977 	4397112 	3780809 	1957698 	3801020 	3799725 	2799482 	2096573 	2121146 
